domain,contact_email,notes,status
ornekrestoranblog.com,editor@ornekrestoranblog.com,Rehber içerik yayınlıyor,queued
restoranteknoloji.com,info@restoranteknoloji.com,Sektör inovasyon haberleri,queued
qrgida.com,iletisim@qrgida.com,Dijitalleşme makaleleri,varify email
menudijital.com,editor@menudijital.com,Case study kabul ediyor,queued
fnbinovasyon.com,hello@fnbinovasyon.com,Tool listesi var,queued
kafebilisim.com,content@kafebilisim.com,Guest post açık,queued
barvekokteyl.com,editor@barvekokteyl.com,Bar odaklı premium içerik,queued
cloudsatis.com,partnership@cloudsatis.com,SaaS directory,kayit
qrmenuhub.net,team@qrmenuhub.net,Link değişimi opsiyonel,queued
restoranio.com,editor@restoranio.com,Kaynak listesi,queued
